"","ID","A1_1","A1_2","B1","C1_1","A2_1","A2_2","B2","C2_1","A3_1","A3_2","B3","C3_1","A4_1","A4_2","B4","C4_1","A5_1","A5_2","B5","C5_1","A6_1","A6_2","B6","C6_1","A7_1","A7_2","B7","C7_1","A8_1","A8_2","B8","C8_1","A9_1","A9_2","B9","C9_1","A10_1","A10_2","B10","C10_1","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","study"
"94","R_eRrGkZuqX3VkpiR","40","0","2","1","39","6","2","1","60","21","1","2","30","15","2","2","9","0","2","1","39","20","2","1","4","1","2","1","70","10","2","2","9","1","2","1","9",NA,"2","1","3","3","3","1","2"
"95","R_1hGttXGj4O8NNYK","70","19","2","1","40","30","2","1","69","29","2","1","49","20","2","1","40","19","2","1","70","29","2","1","39","5","2","1","70","9","2","1","80","39","2","1","29","9","2","1","3","3","3","1","2"
"96","R_1M4yBvF0nClvnSZ","25","14","2","1","10","10","2","2","5","40","2","1","0","0","2","2","7","5","2","2","20","22","2","2","30","5","2","1","70","10","2","1","81","50","2","2","40","91","2","1","3","2","3","1","2"
"97","R_ANUpZaakGjwzbW1","19","5","2","1","15","6","2","1","29","9","2","1","29","10","2","2","5","2","2","2","30","10","2","1","3","0","2","1","39","9","1","1","20","9","1","1","25","1","2","1","2","2","2","1","2"
"98","R_9t9i9WupVKtP3kF","91","20","2","1","0","0","2","1","90","0","2","1","41","0","2","1","0","0","2","1","61","0","2","1","70","0","2","1","60","29","2","1","25","0","2","1","75","60","2","1","3","1","3","1","2"
"99","R_2TRvNv9ykEaflIa","19","1","2","1","100","9","1","3","80","80","1","3","30","1","2","2","5","1","2","2","91","1","2","1","5","1","2","1","30","1","2","1","10","1","2","1","20","1","2","1",NA,NA,NA,NA,"2"
"100","R_bEIc7qDRhhb1Dmd","40","11","2","1","61","9","2","1","60","9","2","1","30","70","1","3","60","20","2","1","30","9","2","1","30","0","2","1","61","19","1","2","40","0","2","1","70","20","2","1","3","3","4","1","2"
"101","R_dgpkGz4E2sIj10l","90","30","2","1","80","20","2","1","70","10","2","1","100","30","1","2","100","80","1","2","91","40","2","1","50","0","2","1","90","1","2","1","20","1","2","1","90","90","2","2","3","3","2","1","2"
"102","R_2QMpezA9pu4srP8","91","20","1","1","5","1","2","1","29","2","2","1","30","59","1","3","50","20","2","2","40","2","2","1","5","0","2","1","20","5","2","2","9","1","2","1","30","3","2","1","2","1","1","1","2"
"103","R_9XJbAxLXr4bURQF","80","51","2","1","61","9","2","1","61","10","2","1","39","29","1","2","91","50","2","2","91","39","2","1","40","0","2","1","90","19","2","1","90","20","2","2","40","10","2","1",NA,"3","3","1","2"
"104","R_1n2ZWGm7bXZp9Vi","50","81","2","2","41","61","2","2","100","100","1","3","100","100","1","3","10","100","2","3","100","100","1","3","0","0","2","1","20","50","1","2","0","0","2","1","5","0","2","1","1","1","1","1","2"
"105","R_1PSNVWQ6viz6SgU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"106","R_2aVmzgI4RM78SOB","70","5","2","1","35","5","2","1","35","4","2","2","50","50","2","2","80","5","2","1","60","5","2","2","10","0","2","1","75","5","2","2","85","40","2","2","50","10","2","1","3","2","3","1","2"
"107","R_Q0tRLkabKBkUX1T","80","60","1","2","80","70","1","2","91","80","1","2","91","80","1","2","70","70","2","2","91","80","1","2","0","0","2","1","60","50","1","2","29","9","2","1","29","9","2","1","1","1","1","1","2"
"108","R_1jADsukAOcLIyA3","90","100","2","1","12","3","2","1","26","6","2","1","93","5","2","1","15","7","2","1","11","7","2","1","14","2","2","1","95","2","2","1","24","5","2","1","21","5","2","1","2","1","1","1","2"
"109","R_1HoOnkXM1KYwgAd","40","18","1","3","44","18","2","1","37","9","2","1","38","26","1","3","41","16","2","1","31","6","2","1","62","10","2","1","37","6","2","1","50","20","2","1","39","8","2","1","3","3","2","1","2"
"110","R_bkLy1S0qlmAZDbz","30","5","2","1","9","9","2","2","40","10","2","1","70","40","1","3","40","10","2","2","34","19","2","2","9","0","2","1","50","10","2","2","70","19","2","1","20","0","2","1","2","2","2","2","2"
"111","R_RIjaFO1AnYvBe8h","100","100","1","3","20","100","2","2","100","70","1","2","100","100","1","3","9","100","2","2","100","19","1","2","10","0","2","1","100","20","1","2","80","100","1","2","20","20","2","2","2","2","2","2","2"
"112","R_3I9tPGfwaa08Scj","61","30","1","2","40","20","2","2","50","40","1","2","30",NA,"1","2","39",NA,"2","1","60","19","1","2",NA,NA,"2","1","60","41","1","2","30","20","2","1",NA,NA,"2","1","2","2","2","2","2"
"113","R_272Q5dAZpogdykr","70","60","1","1","69","59","2","2","71","60","2","2","79","80","1","2","60","50","1","2","50","40","1","2","9","0","2","1","60","40","2","2","39","30","2","1","19","0","2","1","3","3","1","2","2"
"114","R_2Qh4R57SSXIC9o6","19","4","2","1","49","30","2","1","29","19","2","1","40","31","1","3","29","4","2","2","30","10","2","1","29","3","2","1","59","30","1","2","59","9","2","1","29","16","2","1","2","2","3","2","2"
"115","R_1LO7ABgmIw2cOJQ","100","100","1","3","60","40","1","1","91","90","1","3","50","50","2","2","60","71","2","1","80","50","1","2","50","20","2","1","70","95","1","2","60","20","2","1","50","29","1","1","3","3","3","2","2"
"116","R_bfNCWPjFnjPPpL7","64","37","1","2","13","4","2","1","35","12","1","2","72","60","2","1","16","15","2","1","67","66","1","2","4","2","2","1","17","1","2","1","31","11","2","1","18","15","2","1","3","1","1","1","2"
"117","R_8d1WaIXraZg4Jyl","70","61","1","2","35","31","2","2","81","80","1","3","70","71","2","2","51","43","2","2","40","28","2","1","12","2","2","1","63","53","2","2","31","24","2","1","14","3","2","1","2","2","2","2","2"
"118","R_eWM5X90bxRQP3Lf","60","50","1","2","80","80","1","2","80","80","1","2","60","60","2","2","10","10","2","2","70","60","2","2","10","0","2","1","30","0","2","1","50","10","2","2","10","10","2","1","3","3","3","3","2"
"119","R_27jmHM2aXs09NLo","90","80","1","2","70","80","1","2","70","60","1","2","85","45","1","2","80","50","1","2","90","20","1","2","51","0","2","2","90","15","1","2","50","90","2","2","71","51","2","2","4","4","4","4","2"
"120","R_28M2JX5arMSZiEM","50","24","2","2","6","1","2","1","4","2","2","1","87","84","1","3","20","3","2","1","84","24","1","2","8","1","2","1","70","34","1","2","82","65","1","3","81","66","1","2","1","1","1","1","2"
